Title,Bag of Words
Who's Afraid of Virginia Woolf?,drama mikenichols elizabethtaylor richardburton georgesegal aging couple young fuel anguish alcohol help bitter emotional pain towards use 
The Terminator,action sci-fi jamescameron arnoldschwarzenegger michaelbiehn lindahamilton sent costs machines 2029 assassinate soldier whose unborn son waitress 1984 protect seemingly indestructible humanoid cyborg lead humanity war 
Groundhog Day,comedy fantasy romance haroldramis billmurray andiemacdowell chriselliott inexplicably living day weatherman finds 
The Help,drama tatetaylor emmastone violadavis brycedallashoward white families book detailing work go point 1960s decides aspiring author write daily basis african american maids hardships view civil rights movement 
Strangers on a Train,crime film-noir thriller alfredhitchcock farleygranger ruthroman robertwalker two complete strangers psychotic socialite confronts plans theory implement pro tennis star murder get away 
The Night of the Hunter,crime drama film-noir charleslaughton robertmitchum shelleywinters lilliangish gullible widow whose young children 10 tell reluctant real daddy hid religious fanatic marries robbery 000 stolen 
All Quiet on the Western Front,drama war lewismilestone louiswolheim lewayres johnwray destroying horror young soldier faces profound disillusionment soul world war 
Beauty and the Beast,animation family fantasy garytrousdale kirkwise robbybenson jessecorti rexeverhart place actually prince physically altered imprisoned young woman whose father terrifying beast offers unaware magic spell captor 
Lion,biography drama garthdavis sunnypawar abhishekbharate priyankabose thousands home couple five adopted lost family australia survives many challenges streets sets old indian boy gets 25 years later find kilometers year calcutta 
Twelve Monkeys,mystery sci-fi thriller terrygilliam josephmelito brucewillis jonseda disease wiped man made virus human population future world devastated time planet convict gather information sent back 
Guardians of the Galaxy,action adventure sci-fi jamesgunn chrispratt zoesaldana davebautista stop work together fanatical warrior universe intergalactic criminals forced taking control group 
Dog Day Afternoon,biography crime drama sidneylumet penelopeallen sullyboyar johncazale hostage situation media circus man robs operation pay turns bank lover 
Jaws,adventure drama thriller stevenspielberg royscheider robertshaw richarddreyfuss monster marine biologist bloody attacks shores giant great white shark arrives old seafarer swimmers hunt local sheriff teams new england beach resort wreaks havoc 
Zootopia,animation adventure comedy jaredbush byronhoward richmoore ginnifergoodwin jasonbateman idriselba city uncover anthropomorphic animals conspiracy cynical con artist fox must work together rookie bunny cop 
Guardians of the Galaxy Vol. 2,action adventure sci-fi jamesgunn chrispratt zoesaldana davebautista unravel mystery peter quill true parentage newfound family together keep guardians must fight 
Pirates of the Caribbean: The Curse of the Black Pearl,action adventure fantasy goreverbinski johnnydepp geoffreyrush orlandobloom love governor turner teams jack eccentric pirate save captain daughter former allies undead blacksmith sparrow 
Before Sunset,drama romance richardlinklater ethanhawke juliedelpy vernondobtcheff celine first met french leg nine years jesse book tour encounter 
The Imitation Game,biography drama thriller mortentyldum benedictcumberbatch keiraknightley matthewgoode fellow mathematicians help mathematician alan turing tries crack enigma code world war ii 
Young Frankenstein,comedy melbrooks genewilder peterboyle martyfeldman struggling transylvania invited reanimates dead body infamous scientist insane people believe process prove discovers american grandson 
Stalag 17,drama war billywilder williamholden dontaylor ottopreminger two escaping american world war ii prisoners suspected killed j sefton informer german pow camp barracks black marketeer 
Dogville,crime drama larsvontrier nicolekidman harrietandersson laurenbacall run agrees yet never far away ... price work search visits town mob reluctantly accepted finds support woman dangerous secret exchange small colorado 
Dead Poets Society,comedy drama peterweir robinwilliams robertseanleonard ethanhawke authentic knowledge feelings different perspective english teacher john keating inspires poetry students look 
High Noon,drama thriller western fredzinnemann garycooper thomasmitchell lloydbridges help face returning deadly enemy frank miller personally compelled kane finds marshal fellow townspeople refuse 
Papillon,biography crime drama franklinj.schaffner stevemcqueen dustinhoffman victorjory sentence man escape dreadful prison island fellow criminal plot inspires befriends begin serving two 
A Streetcar Named Desire,drama eliakazan vivienleigh marlonbrando kimhunter sister reality crumbles around brutish brother tormented law disturbed blanche dubois moves new orleans 
Arsenic and Old Lace,comedy crime thriller frankcapra carygrant priscillalane raymondmassey homicidal maniacs wedding day drama critic learns insanity runs beloved maiden aunts family 
Sin City,crime thriller frankmiller robertrodriguez quentintarantino jessicaalba devonaoki alexisbledel miserable town dark tells violent corruption caught three different people film explores story basin city 
The Hustler,drama sport robertrossen paulnewman jackiegleason piperlaurie stakes match coming pool player plays time champion single high long 
A Night at the Opera,comedy music musical samwood edmundgoulding grouchomarx chicomarx harpomarx snobbish enemies sly business manager two wacky friends opera singers help humiliating achieve success stuffy 
The Killing,crime drama film-noir stanleykubrick sterlinghayden coleengray vinceedwards track robbery crooks plan daring race execute 
The Avengers,action sci-fi josswhedon robertdowneyjr. chrisevans markruffalo stop earth alien army team mischievous loki enslaving humanity mightiest heroes must come together learn fight 
Notorious,drama film-noir romance alfredhitchcock carygrant ingridbergman clauderains far woman nazi friends south america go spy ingratiate group asked 
Harvey,comedy drama fantasy henrykoster wallaceford williamh.lynn victoriahorne insistence wiser due invisible six foot tall rabbit aged man insane thought may anyone knows best friend family whimsical middle 
The Martian,adventure drama sci-fi ridleyscott mattdamon jessicachastain kristenwiig earth dead way alive ingenuity must rely signal team assume find astronaut becomes stranded mars 
The Exorcist,horror williamfriedkin ellenburstyn maxvonsydow leej.cobb teenage girl mother seeks help save daughter mysterious entity two priests possessed 
Rio Bravo,action drama western howardhawks johnwayne deanmartin rickynelson young gunfighter help drunk american west enlists small brother cripple hold local bad guy efforts jail town sheriff 
The Philadelphia Story,comedy romance georgecukor carygrant katharinehepburn jamesstewart husband truth rich woman planned remarriage begins tabloid ex learn type reporter turn 
Rope,crime drama thriller alfredhitchcock johndall farleygranger edithevanson challenge two young men strangle means classmate dinner party apartment body perfection invite inferior crime family friends hide 
The Big Sleep,crime film-noir mystery howardhawks humphreybogart laurenbacall johnridgely blackmail love complex case hired might private detective philip marlowe rich family seen murder 
Pink Floyd: The Wall,animation drama fantasy alanparker bobgeldof christinehargreaves jameslaurenson madness physical social isolation confined troubled rock star descends everyone midst 
The King's Speech,biography drama tomhooper colinfirth helenabonhamcarter derekjacobi speech therapist unsure monarch become worthy northern ireland great britain story impromptu ascension throne king george vi helped united kingdom 
A Christmas Story,comedy family bobclark melindadillon darrenmcgavin peterbillingsley santa young boy named ralphie attempts convince b parents red ryder gun really teacher perfect christmas gift 1940s 
The Graduate,comedy drama mikenichols annebancroft dustinhoffman katharineross torn disillusioned college graduate finds daughter older lover 
JFK,drama history thriller oliverstone sallykirkland anthonyramirez raylepere new orleans da discovers official story kennedy assassination 
Sling Blade,drama billybobthornton billybobthornton dwightyoakam j.t.walsh released small town simple man hospitalized since karl childers childhood murder new life mother start lover 
Blood Diamond,adventure drama thriller edwardzwick leonardodicaprio djimonhounsou jenniferconnelly priceless diamond smuggler possession businessmen match wits syndicate fisherman 
Magnolia,drama paulthomasanderson pathealy genevievezweig markflanagan love epic mosaic search san fernando valley interrelated characters forgiveness meaning 
Rain Man,drama barrylevinson dustinhoffman tomcruise valeriagolino father left travel cross country savant brother raymond charlie selfish yuppie babbitt pittance fortune 
The Revenant,adventure drama thriller alejandrogonzáleziñárritu leonardodicaprio tomhardy domhnallgleeson frontiersman dead bear hunting team left mauled members fur trading expedition survival 1820s fights 
The Nightmare Before Christmas,animation family fantasy henryselick dannyelfman chrissarandon catherineo'hara king jack skellington discovers christmas town attempts home cause confusion halloween bring 
The Manchurian Candidate,drama thriller johnfrankenheimer franksinatra laurenceharvey janetleigh unwitting assassin brainwashed international communist conspiracy former prisoner war 
Deadpool,action adventure comedy timmiller ryanreynolds karansoni edskrein fast talking mercenary humor leaves rogue experiment accelerated healing powers quest subjected revenge morbid sense 
The Wild Bunch,action adventure western sampeckinpah williamholden ernestborgnine robertryan one last big score traditional outlaws look american west disappearing around aging group 
Aladdin,animation adventure comedy ronclements johnmusker scottweinger robinwilliams lindalarkin make love beautiful princess prince magic power street urchin vies marry uses order genie 
Big Fish,adventure drama fantasy timburton ewanmcgregor albertfinney billycrudup fiction fact dying father frustrated son tries life determine 
Patton,biography drama war franklinj.schaffner georgec.scott karlmalden stephenyoung controversial american general george world war ii phase patton career 
The Lost Weekend,drama film-noir billywilder raymilland janewyman phillipterry desperate life four chronic alcoholic followed day drinking bout 
Short Term 12,drama destindanielcretton brielarson johngallagherjr. stephaniebeatriz residential treatment facility navigates co something supervising staff member longtime boyfriend 20 world alongside worker troubled waters 
His Girl Friday,comedy drama romance howardhawks carygrant rosalindrussell ralphbellamy ace reporter ex newspaper editor uses every trick book remarrying keep wife 
The Straight Story,biography drama davidlynch sissyspacek janegallowayheitz josepha.carpenter old man makes ill brother mend long journey relationship lawn mover tractor 
Slumdog Millionaire,"drama dannyboyle loveleentandan devpatel saurabhshukla anilkapoor millionaire ?"" slums accused wants mumbai teen reflects cheating indian version upbringing "
