Topic,Bag of Words
Vectors,Get Help C++ std well means sorry basis difference code could please someone explain vectors take string learning passed lesson good c codecademy data type typing different thing hey let english grammar saw something weird code ok std vector string class managed might implement thank well really basis typing type cout vectors take using ops c standard library know helped passed mistakes lesson also codecademy reply vectorname let exactly name tells made lol saw something weird 
What is wrong with my palindrome function? C++,Get Help C++ debug hi please advice comparison time find working thanks spending output code wrong trying seem figure thank avoid could pass validation index std cout compare variable contains dirty details equal string next time screen e introduce something like figure supposed removed part verify int quite often cpp n reverse modified loop strings looked eyeballing whatever shows last character get make small modification still apperently happens data lenght makes sense code bytes moving printing yield correct results opposed hint perhaps even learn positions better understand realistically text going using fix one option access back extra came output looks suspicious indexes start explain inspect debugger match exist always staring blind mistakes probably hope eliminate scenarios abstracting away thanks want already dealing experienced beginner bugs though another explains especially length 
Access Control: Public and Private problem,Get Help C++ told function exactly add access control overall code problem guys trying make private artist get part little stuck public title similar told control exercises exercise add access c link courses overall code com please thanks codecademy action plus classes private problem learn lessons artist get function objects class https www public cpp resume content item 
[C++] Need help with cin input,Get Help C++ input gonna loop times get character cin console even tho first char problem thanks want sup thereso limit able user type put test program keep looping like see write sync comes input whole line another solution might process project every key press https github possible lot slower terms hit linebreak typing head following instructions game started program cpp basically first character require buffered get loop anything else would buffer need unplug say queued user type repeat ends code could ended hanged way really cool multiple char compile asking read purposefully badly formed easier manon thehangedman already covered even sure looking know continuing maybe probably types able start intentionally ignore second one point alternative care beyond control much time clear always buffering mode mean figuring com pretty ionatan suggested validate change flushed want trying limit cannot prevent single find quite likely expressing example writing de charlescpp keyboard look function 
Need help with First Three Multiples,Get Help C++  cheers print bottom loop instead currently understand hi guys c module first three multiples tut bit stuck many loops han looked aim ranged based values code outputs could anyone explain alloc second parameter scenario const value type take n elements specify remain zeros num might right reserve space sometimes size type execute type int reserving faster part question push back values explicit vector capacity verses every initialise without specifying relates copy number val fewer operations need problem takes time three high probability get eight computer needs creation created snippet cplusplus forum advantages simply omit situation element extendable code way calculate many prior knowledge line place inside hello sure small digression use method value passed reference know ignored allocate memory fix initializing kind start response container default initialize allocator type constructs initialises crucial case provided lead us means welcome com better thanks want pretty intuitive size http www look function output length 
Condition problems,Get Help C++ argc return conditions btw arithmetic calculator add char debugger skips pow better way writing cout bunnies endl need problems one statement wondering c int main using namespace std divide subtract help relatively new argv code multiply const double minrange whole maxrange someone coding maybe satisfied condition statement expected skipped doubt 
The water-plant solution wrong,Get Help C++ exercises challenge c get ld returned exit statuswhen putting together courses solution codecademy provides com gcc usr plant x linux lib functions gives error action x undefined reference tomain collect plus run learn lessons message code gnu happening crt https www cpp cc function start text resume content item water fixed soon thank hopefully popping everything reason going crazy ok console behavior working problem code error c lessons since sometime yesterday thought 
How to fix terminal error: cannot execute binary file ecet format error,Get Help C++ google hi thankyou use could someone help get terminal correct new cannot execute binary file words extra simple please error c course seem looked exec format understand yet workspace add could someone explain recompile mac files course workspaces maybe nothing changed browser drop deal rather works author placed copying idea may also oke fix google chrome presumably code internet explorer whatever reason see lots drag exercise program compiled 
What are the differences between references and pointers?,Get Help C++  help two thanks confused used following differences java set references use c big objects pointers questions pointersdue etc source main reason need safer implement also asked passed cannot less powerful tree org functions interview arguments limitations data structures get efficiency gain commonly restrictions similarities geeksforgeeks implementing like linked list https www save copying one function inside another change local variables returned despite easier 
CODE CHALLENGE: C++ FUNCTIONS First Three Multiples,Get Help C++ know function data type set vector code wrong initialization example program suggest googling put would also google basic operations vector type assigning thanks c like way thingsnote yeah data trying seem bit try converting create vectors showing construction examples function code gave name heres int right variable returned std returning dynamic language line 
Why doesn’t my quadratic equation work?,Get Help C++ std sqrt input c root finding variable b double root output quadratic equation store what cout enter n cin two variables root figure when every time include int main values roots come life wrong std cout enter c n cin b see anything amiss 
Don’t understand palindrome function,Get Help C++  input std cout is palindrome madam n ada lovelace string reversed text text include define return false int main could someone please break palindrome asked first post functions projects true thanks bool size make reverse test check whether itterates code ps sorry need help understanding step finishing formatting mistakes basically see tachopefully middle nicolasa challenge sides index instead string right ada second parameter starting logic downwards variable efficient like question int essentially beginning meaning creating end left assigns true reversed text character loop last word else number needed include define is palindrome regards val would start let initially assigned two ends happy coding blog size forum simplify technique typically code main way values value make sense awesome bool returns false ending text account matches original appends hello iterating backwards characters spoiler moves upwards add another know apply maybe basically shorthand lot cat passes coded helps indexes initialize tests return function finds letters case subtract match time one spot std welcome hope hits cout madam n lovelace thanks even could refactor iterate forwards concatenation operator symbol existing example reverse explanation look equal adds output array take length 
Help with Whale Talk,Get Help C++ write anyway push back whole thing effect taught errorsor something problem highlight seems like input index char equal string push u resultarray vowel push back whale h letter checks normal somebody please tell example first exists e vowels select try j else evaluated human const let vector still nd value array pushes result type expecting either convert hi loop works reason alright std vectorstd like empty second get therefore somehow error change thanks trying helped length 
Dog Years output goes beyond million problem,Get Help C++ executing hi sorry input showed goes well even inserting dont know problem im experiencing wrong answer human years compiling could make bug thought beyond million amount something else please help bad english age therefore code c dog section course currently example improvement mine improvise adding program converted went smoothly see given oh using value yes make sense replying thanks bug variable code 
Confusion on the ‘Default Arguments’ lesson?,Get Help C++ following still need true similarly function arguments two default mean call nan 
8 Ball Exercise Question,Get Help C++ see answer std cout ask never prompts enter sure seem like n use rearranged rand certain statements right away cannot predict learned yet else yes magic doubt going curious include ball probably order make reply later user run string user input outlook fine good wanted would store runs code int main definitely question cin ultimately try something extra though without program work doubtful actually asking count decidedly see time ago another environment like formatting use line without executing std cin code tool ran p computer know disabled preserve works problem thing lesson post thanks skips wondering good trying codecademy set happy coding make please click perfectly much easier posts forum icon first run space indicated paste would expect noticed think work crazy tried within repl instances case issue read 
C++ Destructors,Get Help C++ properly refer token std cout song get title used back to black music sure hpp int main work string new title get artist return artist try python self notation would title following code get add know error expected primary lesson though black amy winehouse called academy says full include new artist figure c goodbye supposed class translates destructors last part destructor object name back public compile successful cpp output expression  song std cout used get title lol yaaaay checking ur code work call something know worked title explain called first make goodbye function u want also initially tried class get song best practice maybe someone knows better destructor 
I have a problem in assigning values to objects,Get Help C++ note cross mark incorrect theory electric relaxation add second point wrong said link give solutionwhere com must electric relaxation lesson add title method edit object github attributes wrotemy program instructed values like question properly gave class use song format https gist title defined f da de d e b afcaae da built get pretty annoyed setters composed come sorry words getter could methods actions suggested instruction specifically said use think perhaps act however people second paragraph dot notation languages object attribute integrity checks changes codecademy python courses messages setter explain understand parts dealing add title method declaring another variable gets never see trying counterpart special type using context react illustrate sets needs name dozen indirectly agree memory accessed directly many set code java background message handlers pleases bet oriented programming getters point least oop free enthusiasts call aforementioned insist upon always recommended take easier opposed 
#include <string> question,Get Help C++ projects freeform project runs perfectly fine without add answer key c lessonhttps www cpp development hppprofile link courses click include string absolutely necessary affection something com profile want data type std codecademy contribute plus cppprofile github run learn however profilehere cppmy question code object confused linksapp hpp need dating understanding involved program creating account case lessonlearn top background see recognising appropriate header file referenced yes notice omissions think apologies runs perfectly fine without solution ought use though suggest stackoverflow seems questions include string absolutely necessary c standard library rely com suspicion std https finding correct fairly sure using iostream headers profile compiler automatically beside thepitycoder done anything kind somewhere thread run corroborate advance code way mistakes hpp need pulling happening simply question since part vector program case used last time believe top 
Constructors question,Get Help C++ first picture hpp section constructors exercises typo c courses something com resume content itemin also include string city understand lesson thanks codecademy cpp instead action plus classes learn lessons code objects confused need question https www image like top nan 
Why the int main() function gives “Hello world” as the output,Get Help C++ string return type integer code gives hello world function output implicit returned explicitly add successful execution responsible code gives hello world status error return valuethe main function returns output std course 
Rock paper scissors,Get Help C++ hi got time rock paper scissors game wrong output anyone see rand n std cout cin user null int computer trying figure make code shoot srand std cout terminated otherwise code block win n conditions gets executed every time remember also runs probably please see condition hope comments else statement thanks want paper beats rock need helps response statements thought written test another confused compile much semicolon 
Sorting Hat quiz question,Get Help C++ see used say max screen shot lost statement curly braces function later would need sort even changed give call something called anything bit confused going letting us gryffindor good practice expected thing soley discovered include kb still worked tell picture running correspond variable house name png pm greater placeholder string steve value understanding sorting hat project case missing zero left declared used string house use ie add slytherin give name ravenclaw know one different winner hufflepuff integers make cases greater max gryffindor beginning output points without say std cout 
Using Loops & C++ for audio plugins,Get Help C++ two part question got would need book called designing audio effect plugins get specific types courses instead bought advanced maybe particular spending however many years loop takes real world examples starting simple functions c thanks trying figure intermediate level books important using loops likely used repeat may come together anyone know creating topics learn anything section advance beginner code aware plugin development basics programs make sense learning point skipping ahead cover mastering develop different note comes see could would need instead probably use recognize tool like real world examples thing starting figure answer list simply write likely used gender loop section knife hand per contact lets say creating someone check every data entry types pseudo code get giant way less work instance one feel thousands separately happy coding trough repeat ability turn allows make sense reasons male contacts got playlist information female specific might second question give know maybe statement using loops following things helps getting programs customer want impossible eventually document songs c put quick simple example hope tho trying another may come together million name two documents randomly choose millions cut bread 
Cin>> for Water Plant,Get Help C++ hi input user cin water plant exercise going straight appreciated whether passing understand thanks want succulent amount trying using std days final output able use however roughly noticed previously different options exercises back help would tried happening edit is succulent false enter int days codecademy terminal true different compiler user input return intended using std cin else ran little water give instead plant bool is succ elaborate mentioned many ago cout needs water n whether going straight worked fine statement succulent time running expecting include define able run yes program appears string expect main well bypassing working everything go ahead 
Trouble with exercise,Get Help C++ exercises exercise c wrong courses hints put inbut com scope functions codecademy answer action help plus flexiblity learn lessons solutions programs right https www says cpp multifile resume content item believe helps happy coding hope code check comment 
C++ output,Get Help C++ hello exercises nwhere input n c std cout codecademy courses com console action plus learn lessons code obtain https www cpp world yields output result resume content iteminputting used helps use hope wrong slash escaping character backslash key instead forward 
Functions: Scope & Flexibility Lesson 2 Grader not recognizing function declarations,Get Help C++ separate file provided function definitions hi also compile properly sure declarations difficulties current lesson regarding functions spanning multiple files see title advance thanks code grader still asks follows something wrong please post seems could exercises sct exercise c link courses parameter names com scope lists addition hope functions expecting codecademy programs sorry plus helps flexiblity learn lessons https www cpp multifile types 
Temperature lesson problem,
What is wrong with my palindrome function?,Get Help C++  size hi std string reversed text exercise text else wrong return true c thanks bool is palindrome stuck tell anyone cout madam n ada lovelace code int main palindrome function part newcomer false position index wrong statement reversed text modification empty string operator included results int address happy coding character get loop thought using current expression first method expect code reversing text works characters stop condition third add orthodox would size lot peeking one last thing understand food make helps please try correcting issues original indexes start reason nice weekend like initialized subtract hi second exist previously mentioned continue iterating proper hope madam thanks necessary changes want giving 
What do I do after I’ve completed the C++ course?,Get Help C++ year able completed tips job get want end c course codecademy move jobs html thank go make something welcome hello job four take modules launch gives hard worker worry applying accept someone like bit c also going next months journey react find startups looking forward def thinking algorithms maybe try python one language read everyone usually keep learning question interesting website design courses day care review end node require stay open get challenges hey languages would remember willing biirra said need creators thought mean time answers type css know javascript sonny inspiring story always ask code definitely community college fellow codecadamy learner prepared made upcoming experience git work taken working every practicing general things express sharp hire lot taking good functions little codecademy show reply ejs ect able start similar writing two learn never sure since asking well much cheers tuned course three year means objectblaster practice certification com trying java ways toward vectors rejected least hour cs katas codewars thanks want new come enough improve decent js plan portfolio others 
Having trouble with the functions code challenge ‘introduction’,Get Help C++ correct output told void introduction incorrect string last name cout using namespace std define code include first name help beyonce knowles gives reason much appreciated iostream endl int main see looking pasted thank ah found pain match use exercise good luck challenge hint suggest languages byteblaster know cannot enter work perfectly also correct appears pass solution button particular lesson back real world scenario c expecting next still codecademy cases like rusty using namespace std fix hopefully endl reset proceeded code venues several years ago check mark copied statement would results expected syntax sometimes even submitted great added preferred way much happy coding originally learned midlindner earn without clicking bug report cout course 
Code Challenge/C++ Functions/Palindrome - Help,Get Help C++ see solution accepted without clicking exercises challenge c following code courses is palindrome com notice editor make sure sonnynomnom correct need button functions error spelled palidrome throughout codecademy order fixed define hopefully plus start learn lessons spelling correctly word palindrome https www point cpp cc function issue palindromethis particular greatly appreciate know sure future lesson participants flagging fixed bugs thanks let getting fast midlindner 
C++ new section 7 & 8,Get Help C++ far new section yet website seen per uploaded sections appear course c coming next tuesday 
New topics,Get Help C++ pointers would well may th added classes says anyone know new content course page objects c coming may th 
Test,Get Help C++ check funktion test post well al behold works 
Can someone explain this pseudocode line by line? I found this code online and is about to learn the basic parallel merge sort,Get Help C++ break check processors pragma omp section could n start int tempi temp merge char size max threads rand string insertion sortvoid omp get num procs available printf array i return cpu argv null nsorting threads wtick main void mergesort parallel omp two sorted sub begins recursive double end small arrays implementation dependent driver run omp omp get nested avarage time random initialization implementtion error sort openmp omp get thread num mergesort serial i max omp get wtime get arguments j execute multiple sections else number requested serial omp get wtick insertion sort omp get max threads subarrays enable nested parallelism malloc thread allocate allocation stdio v sizeof switch proper execution ntime taken include srand atoi n use nend call version program nprocessors omp set nested copy argc warning unavailable f omp set num threads f given memcpy idle desired must availability puts parallel mergesort work properly cannot wtime nprocesses essential change num threads h usage define switches stdlib nmergesort success process speed result others implement probably best really ugly c code written proficient cpp even look language honestly find learn unless plain english algorithm fact sorting better example attempt trying 
Whale Talk - Question about ‘if’ placement,
#include not working locally,
Rock Paper Scissors,
C++ Switch/Case/Break/If else logic question,Get Help C++ house ravenclaw someone suggested input hufflepuff could stack overflow use switch de finition ken string gethouse else slytherin max asked explain gryffindor enum expected error c lesson return revenclaw case std none eror gave didnt work int break instead sortinghat default cpp tried function main allowed end sorting part mainadd main https en error saying undefined reference try adding close cppreference string com w language header place thewith another code since cpp switch know c sry main functioni dunno bottomwhat include left 
Expected initializer before `int` Int main,Get Help C++ different files happening declare int main png cannot see nothing kb expected initializer think image functions error defined trying everything sh us show see spoiler could missing click hpp ufo common procedure nothing wrong post thanks error end game file std string answer necessarily originate test environment codeword wording two files c shell online site code editor try running function declaration default never touched ufo functions imagine confused starters look closely might cpp codes putting end like 
Where is c++ used except making computer programs?,Get Help C++ note g mean microwave oven one everything e car radio really curious c want uc browser shareit washing machine written games context meant find book books everywhere used systems etc read used c language quick google search almost found java level languages think specifically microwave oven programmed right everything required also linux today car radio example washing machine written entrance fully based literally embedded devices find device drivers microcontrollers microcontroller electric anything higher interesting iot guessed know yes systems world programming advent 
After c++ course what to do next?,Get Help C++ programs make something go game say finishing new modules snake use wait text based close c course console build com interface open source gui framework https stackoverflow user plenty graphical extended reading questions check c thanks 
Vectors Review - code not working,
Undefined reference to main even though i did everything,Get Help C++ forgot jpg kb ff got could e pm rewrote wrong c de d befb bugs everything asked typing mistakes trying a ae help sorting hat quiz thing execute whole wanted compile made instructions tried crying add anything important check f e sleep clicking thank return expert work press save part time main function always seem bottom initially got project worked guess instructions misery fine possible hope c error button course running good looking problem remains great question helps examples however code editor reason tutorials subject best went added much cpp tried explanation working solving g sortinghat past end actually taking click 
C++ Vectors .size(),Get Help C++  std vectorstd string grocery push back hot pepper jam artichoke cout terminal dragon fruit size n pressed run include int main brussel sprouts add moregrocery write tulip thank std vector push back http www great answer hint exercise reference com one new element added four next elements incremented method cplusplus use size documentation current last add values adds much adding welcome question argument factoradic initialized grocery end later line 
Community thoughts on the new C++ course?,Get Help C++ course feels hi programming personally basics c rather like everyone else think happens arithmetic write see thank used almost intensive little short job learned real fun stuff starts knowing helps yeah personally like everything new programming language okay problems please important position tell variable types rd actually one hey taken quizzes years rd module going live run hello right yea whole course adding th wait february everyone seems yes think weeks people get relearn cppi mean remember wrappers need let definitely help following monday sorry excuse family person makes money learn natural languages seem yay cos literally glad expect code th would finished content ok stated two conversation working check coming next week started got start offering large coffee etc add bad thing know getting modules guess bluemanning complete lot love c either game creation patient sounds good ask posts loops coding field cc leader basics objects conditionals well much control flow basis pretty disappointing purpose libraries said big move welcome learning also cpluspluscoder data syntax probably hope relearning released time goes want saidwe cheese may excited holidays something planned improve bread january far advanced functionality info coursework opinion enjoy great platform says email speak update tommorow 
11. Getting a Header Yourself,Get Help C++ code asks properly declare put cpp file console still gives one also header error though lesson functions bug declarations getting main included tell even looked continue lets hpp function definitions believe scope nan 
How to represent a 2D Matrix using a Linked Nodes Data Structure,Get Help C++ also says row nodes column upper triangular matrix using linked data structure index link corresponding know store thanks want d c node contains question tells help access values indicator anyone suggest represent particular non zeros uses different rows together really need begin starting point nan 
I need help with this assignment as a beginner i have no idea that what do in this case kindly anyone of you help me,Get Help C++ write enter input vehicle add get loop following marks informed handling traffic situation value comes required passed range solution needs display three categories driving test entered prompted basic idea student user checking instructor passing decide whether category given hand failed candidate valid unless program hint use see op one must time took mind debugging code could meet muhammadsufyankhan send love would take expectations hey pangs screenshot learn c ur parse u ideas compose first modules 
Error on C++ “Vectors” Quiz,Get Help C++ jpg kb given answer would make sense characters quizerror delivery order existent vector hello fyi non pushed ca hollowman great catch fixed 
C/C++ plot a graph,Get Help C++ x using c values plot graph l calculate different given f html trouble time index take demos simple plots demo know http www reminds let still gnuplot makhoe screenshots hey info look try spending python matplotlib check 
Does Codecademy plan to add to the C++ Course?,Get Help C++ go loops seems able ideally add learn codecademy plan breeze c course like done python thank yes challenge c vectors com coming hope functions eta live codecademy list helps modules course soon finally plus bottom also overview page future updates screenshot articles https www least awesome free community 
Need help with my current assignment,
Learn C++,Get Help C++ hi lessons modules c course would codecademy add coming tommorow added next lesson two updates list monday vectors going think functions exactly actually said february c 
Help with a lesson,Get Help C++ std cout n cin planet sure exercises found c mars fight else courses string terrminal venus project weight com right complete going uranus conditionals understand saturn problem jupiter codecademy im logic action someone try help plus errors learn lessons double neptune code include int main type resume content itemso trying https www nvm pretty everything cpp thingsthis review earth nan 
Problem with C++ lesson,Get Help C++ used spell cpp wont work one fix problem plz help says reset exercise lessons moved us grantmcg please fix exercise report browser make sure second time thanks bug error reproduce using hey c reason went hmmm sonnynomnomthis 
C++ Lesson Glitch/Error,Get Help C++ lesson learn c anyone knows open solve one certain folder called realizing need couldent finish problem wondering issues experienced lessons please reply says could help provided see using myprogram rename compile execute typing flag want c main cpp run anything shell file try ls 
C++ MinGW install,Get Help C++  mingw little box user going follow along installing video variables opens selecting path variable value com editing name new watch edit environment gives option pops trying windows click current window one line fill v enter bin feature shows https www youtu youtube setting gxhlerblgi sure gui splits add spotted would editing windows user new variable probably path displaying option bug onethe video edits current one supposed weeird assume lot shorter imagine example different character might use entries hm looks similar currently like separate 
C++ learning,Get Help C++ make course teaches c guys going see clue really good way take computer decent language features something project said somewhere varibles types basic needs compile c code virtual machines differs online judges like uva list supposed would also actually thought things tutorial subset example java run assignment head place think tools approach thats probably always first program wait brief overview later net looking get much better error messages huge books somebody might need hours suggest checking languages math path start writing int string double covers loops cin say maps bit sets number one resource thoughts definitely including headers boolean operators files pointers references cstrings casting classes templates particular person learning watching lectures world working shoot programming appropriate anyway wrote certain website google otherwise read solve judge problemsthe fastest use work compiler still let advantage others youtube viedo know matter want takes lot courses already make amazon course minutes learn starting basics limiting keep foot wise file safe ubuntu instances approximately great textbook called mentor whitch listing topics practice found perhaps buy bottom half objects close regardless cout arrays vectors best oneit seems presently order googling even assume knowledge find spoj sane well made however arbitrary hello rather easy ones go happen absolute crutch around another unless etc hugely dependent none staff simple control structures statements ternary top 
Bring C++ free course,Get Help C++ teaching learn c bring free course fact people java teaches users would really love cpu works generate efficent code plans low level language codecademy easy used even rust perhaps explained options syllabus small steps learn something industry learned take wrong suggestion mean sure codecademy lead uploaded tomorrow might right everything instance python grease okay letting low level language featured sometimes vuejs c tell variable types college still spoonfeeding direction advice rather interactive learning experience teaches either links modern microprocessor php monday oops online compiler langauge teach spoon feeding np website return line inside everyone complicated programming languages today think one lesson get started people yeah outside remember also web assembly khan academy like doesmay must need wow thanks let function carried chance frameworks shunted two courses completion cc facebook group xd haha absolute advanced answers higher abstractions prototyping premium user plus insight way another site requested awesome bring free coursethere plenty narrative account related ways java skin type derivative learners find anything check could suggest trying codewars spring asks main functionit current course chapters sites gaming stetim stated work achieved teraplayer we end development redocument terrible plans lot within different segments teaching know complex without using bugs really want maybe already broken going explain make sense good ruby offer forced ask shared sharp edge cutting topics surely back topic would love keep practicing tutorials platforms articles suggestions experiencethe allows https www requires least much eventually golang decorator whatever code instead googlethere cheers deals webassebly basis exception estimation poll questions com mostly focuses coderanks polishing exists stuff little bit vague order may presentation including module improve hard search wheel js difficult far doesyou however beginner ported first codecadmey reinvent totally example tiny thing opinion via platform look curious since speak announce fit top 
